Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,AP_Intensity,TRAP_Intensity,exp_name,gene_symbol,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N
,Adck2_E01_hV_M_s3,36.77192464,17.17102219,214.5090097,27.00760384,7.406701394,34.41430524,9.764320797,44.17862603,82.9766151,39.08434811,26.97147341,77.93903679,22.06096321,28.31725286,1.115243734,0.295341344,21.2202695,56.49381692,3.947311134,199.5782137,58.04660957,20.13350652,4.487067823,7.322502585,27.4560091,31.94307693,26.10353265,55.15458872,44.84541128,51.63050093,25.44666604,77.73287967,70.29087423,5.152039057,9.750064375,4.176751955,5.573312421,3.491525424,94.78171093,43.71406162,56.28593838,,,,,1180.961812,254.0134214,43.33333333,251,0.172642762,21.66666667,0.086321381,61.33333333,238,0.257893167,43.66666667,113,Adck2_E01V_v2.xls,Adck2,22.86937432,18.35342758,
,Adck2_E01_hV_M_s4,37.00909529,27.71630056,133.6389683,25.29123084,15.9984361,41.28966694,11.71786445,53.00753139,69.39142148,52.51944034,32.36269792,78.08913818,21.91086182,28.21568746,1.251732119,0.399316538,23.6531425,57.05128584,4.150769446,184.1797308,68.91038711,17.81240902,12.60992751,8.445637339,26.25804636,38.86797387,30.04241324,56.39076608,43.60923392,53.44292225,45.01162319,84.50055078,78.89999923,5.606179939,9.937384276,4.104833255,5.83255102,2.5029036,94.64942143,43.57456513,56.42543487,,,,3.29088679,1093.445227,290.0849587,42.33333333,251,0.168658699,22.33333333,0.088977424,76.5,232.6666667,0.336260331,43,116,Adck2_E01V_v2.xls,Adck2,23.90814591,17.72216222,
,Adck2_E01_hV_M_s5,41.51235515,19.75956831,209.8224123,30.77618063,9.023393789,39.79957442,10.73617452,50.53574894,81.85062576,39.09134579,30.63596173,79.05802845,20.94197155,26.65321171,1.224530629,0.372996726,16.51865437,50.9879439,3.485552652,235.9208755,76.68279203,27.05653991,7.631535243,8.964755403,36.02129531,43.65283055,33.02996148,56.77129914,43.22870086,65.33685707,38.53661208,88.06818214,86.72128512,22.5261781,24.40380228,13.04831729,11.35548499,9.846770602,86.00969738,53.57926576,46.42073424,,,,2.615137722,1880.059993,225.7026989,41.66666667,251,0.166002656,23.33333333,0.092961487,70.66666667,241,0.293222683,51.5,179,Adck2_E01V_v2.xls,Adck2,25.10243062,,
,Adck2_E01_hV_M_s6,26.3137097,14.96928937,175.4732799,21.10794415,9.763523823,30.87146798,5.20576555,36.07723353,72.83108319,41.51044844,20.64149954,85.65846837,14.34153163,16.74934637,1.088111885,0.224791355,21.73056435,54.6337114,3.956121695,199.3026114,71.25007622,17.52565102,8.033465778,4.028582775,21.55423379,29.58769957,41.66237665,41.06140337,58.93859663,65.83754181,51.97554395,86.587804,81.00558473,13.97006191,16.80229201,5.53505392,11.26723809,3.585009676,88.43392319,32.93806088,67.06193912,,,,2.829056671,1653.591337,229.6786661,36.33333333,251,0.144754316,20,0.079681275,69,241.3333333,0.285946984,46,157.6666667,Adck2_E01V_v2.xls,Adck2,24.68522516,22.01866517,
,Adck2_E01_hV_M_s7,28.28704243,12.67172632,254.6407365,23.26698287,6.499443549,32.62816023,6.172282775,38.800443,83.20353869,32.68361134,22.48636289,84.11284997,15.88715003,18.88981408,1.554210896,0.337704898,16.40472096,50.25809429,3.256538235,257.3096562,65.55230411,19.08022471,4.608772801,4.773671477,26.64423756,31.25301036,37.43272887,45.68986939,54.31013061,67.59614967,36.25568431,86.43260018,82.78371819,12.79174919,16.28623564,4.852950286,8.831736239,3.274197554,87.92542514,37.84478185,62.15521815,,,,2.951603756,1470.651172,234.8431923,37.33333333,251,0.14873838,21,0.083665339,60.33333333,239,0.252641832,45,158,Adck2_E01V_v2.xls,Adck2,20.13293626,20.86858427,
,Adck2_E01_hV_M_s8,29.91506304,17.80863488,164.4078528,20.95094178,8.844513616,29.79545539,8.96412126,38.75957665,75.93439728,46.47760584,23.86184896,77.58799688,22.41200312,29.02476832,1.146482694,0.267727749,18.53489385,48.19057067,3.853936308,212.2183899,58.54824848,15.44422092,6.056345267,6.591270161,22.03549108,28.09183635,30.45641213,47.11868382,52.88131618,51.51288816,34.76391937,77.95923008,73.21337179,7.5565386,10.21792926,3.530688065,6.6872412,2.259443975,89.20452643,39.33902151,60.66097849,,,,2.550893066,1236.277958,257.3848928,38.66666667,251,0.154050465,21.66666667,0.086321381,68,236.6666667,0.282157676,43,139.6666667,Adck2_E01V_v2.xls,Adck2,23.47455373,19.40758888,
Male,Akap11_E01_hV_M_s1,28.44208422,8.094777481,363.9014957,25.67678713,5.329480389,31.00626751,2.765297092,33.77156461,84.36897217,23.80632838,18.26843085,91.82469946,8.175300543,8.908441045,0.834751018,0.151204129,31.78368483,61.56648131,5.162823119,133.166184,63.03550464,18.2885152,4.382681192,2.006017306,20.29453251,24.6772137,38.35829094,39.15597564,60.84402436,64.32562282,52.45854367,79.71534982,71.39047192,2.002781783,2.503020116,0.973308403,1.529711713,0.777180912,94.42812865,41.20409207,58.79590793,,,,2.957896876,2225.755255,292.9743309,39.33333333,251,0.156706507,22.66666667,0.090305445,72.66666667,240.6666667,0.301905418,44,114,Akap11_E01V_v2.xls,Akap11,20.26994954,18.34246353,
,Akap11_E01_hV_M_s2,35.37053474,14.54511138,246.2763211,29.32573413,8.500310768,37.8260449,6.04480061,43.87084551,80.68389015,33.04659614,24.95782306,86.26951371,13.73048629,15.93952277,1.112174182,0.277828504,19.88676339,52.30455593,3.763540383,215.5767221,62.98056047,22.08037887,5.976063924,5.131162225,27.2115411,33.18760502,29.79295545,52.56925017,47.43074983,62.41274124,40.264284,85.43788009,76.87829115,6.123582674,8.077232086,3.868637102,4.208594983,2.719254616,84.68693393,47.61415839,52.38584161,,,,3.806960071,1812.314247,231.8223823,39,250.6666667,0.155596282,22.33333333,0.08909429,77.33333333,241,0.320882147,44.33333333,121.3333333,Akap11_E01V_v2.xls,Akap11,19.85875108,18.42917345,
,Akap11_E01_hV_M_s3,35.80234068,11.87080571,307.6918157,30.6802803,6.748745328,37.42902563,5.122060379,42.55108601,84.19002167,27.56560423,23.83657319,88.24437411,11.75562589,13.38032758,1.428522922,0.339527318,26.84872301,57.26335586,4.634156205,161.9915166,66.19637069,24.32663428,4.997530653,3.983992035,28.31062631,33.30815696,32.88821373,49.61670273,50.38329727,67.22419779,41.46265593,82.10473225,78.06241799,7.680089935,9.636305987,4.390912443,5.245393545,3.132639995,92.9285115,46.81236033,53.18763967,,,,3.804766656,1703.905664,284.8730861,37.66666667,251,0.150066401,22,0.087649402,76.66666667,241.3333333,0.317667433,45.66666667,150,Akap11_E01V_v2.xls,Akap11,19.37299914,21.22763506,
,Akap11_E01_hV_M_s4,27.76373707,8.628495401,332.4317111,24.89635469,5.76111302,30.65746771,2.867382381,33.52485009,82.99661006,25.35041053,18.19611624,91.65297941,8.347020589,9.142376448,1.20885766,0.220844657,25.88770087,56.6723892,4.568294709,163.7748986,56.28551961,17.61363089,4.584456865,2.770630824,20.38426171,24.96871858,31.31680104,44.19599218,55.80400782,58.81584518,47.27695981,89.11145032,67.87520032,15.05554119,19.45186452,8.980660327,10.47120419,6.688748798,90.85607315,46.16863499,53.83136501,,,,3.700449299,1782.302569,288.2668182,35.66666667,250.3333333,0.142480744,21.33333333,0.08522178,69.33333333,243.3333333,0.284962558,37.66666667,153,Akap11_E01V_v2.xls,Akap11,16.62201984,20.41620246,
,Akap11_E01_hV_M_s5,33.67239301,14.18022905,237.4601488,28.39059675,8.898432791,37.28902954,5.281796263,42.5708258,79.09734513,33.30973451,23.92631103,87.59292035,12.40707965,14.16447767,1.097781074,0.214465533,30.26899684,63.36465105,4.216914428,173.7755653,76.31656976,22.79987945,7.112718505,4.460518385,27.26039783,34.37311634,34.08679928,50.20911292,49.79088708,67.71089729,50.37353255,89.96960486,80.95770866,10.30323795,12.04856504,9.365581676,9.365581676,6.743520193,90.70241671,50,50,,,,3.756699441,1910.624061,295.8976956,40,250.6666667,0.15936255,24,0.09561753,84,239.6666667,0.35,51,140.3333333,Akap11_E01V_v2.xls,Akap11,21.3564053,22.39635713,
,Akap11_E01_hV_M_s6,30.95831702,6.660089907,473.335836,28.59936131,4.301134202,32.90049551,2.358955704,35.25945122,87.95994463,18.75081806,18.80920346,93.2892373,6.710762695,7.196526355,1.078286772,0.199276025,26.73275789,58.55870387,4.435667372,176.6375593,68.91883671,22.2006658,3.387200404,1.828035302,24.0287011,27.4159015,41.50293521,39.60846914,60.39153086,71.4741463,47.96513513,81.97628641,77.35415337,9.337523794,11.79882922,4.641986679,7.156842541,3.60744598,93.08702632,40.05758497,59.94241503,,,,3.236187082,1951.729942,276.6259034,37.66666667,250.3333333,0.150486056,22,0.087888446,64,242.6666667,0.263374486,49.33333333,135,Akap11_E01V_v2.xls,Akap11,19.80153005,19.78643395,
,Akap11_E01_hV_M_s7,21.01022068,10.13583554,213.0009203,18.71694356,7.84255843,26.55950199,2.293277114,28.85277911,73.14644504,34.72025675,15.57302811,92.13329821,7.866701787,8.559840517,1.319337494,0.220183257,15.13758726,46.90570314,2.961352458,286.5664048,62.00153564,14.65174639,5.995882144,1.858516492,16.51026289,22.50614503,39.49539061,35.82129527,64.17870473,69.21683196,56.80984969,85.84272197,77.87775082,10.0709103,13.56133477,4.386136103,9.175198666,2.911635997,85.96346224,33.45874696,66.54125304,,,,2.899201991,1684.424671,242.8567747,36,251,0.143426295,21,0.083665339,77,241.3333333,0.319868451,44.66666667,140,Akap11_E01V_v2.xls,Akap11,19.22509086,19.57011627,
