Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,exp_name,gene_symbol,AP_Intensity,TRAP_Intensity,AP_Background_Intensity,TRAP_Background_Intensity
,AAA_E27_hF_F_s3,35.26403396,14.09470744,243.1048098,28.41858906,8.576131812,37.30454162,5.518575629,42.82311724,79.95751536,32.91618449,24.17084644,87.12630016,12.87369984,14.88266531,1.643415731,0.381845624,6.72721541,41.21301782,1.630138679,575.3722905,62.63670476,21.37240388,6.005532042,4.186904274,25.95699622,31.96252826,32.67842981,49.41831004,50.58168996,60.70756424,42.00680114,81.73947718,75.64841097,25.13280836,31.33803159,14.38450272,19.87984825,8.679363788,70.64525597,42.04107679,57.95892321,,,,1.077837604,597.5557288,425.5863209,64.5,244.6666667,0.263834058,47.5,0.194279023,109,238,0.457915378,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_F_s4,30.45739599,13.74131532,222.4499052,25.3003131,8.584232424,33.88454552,5.157082895,39.04162841,77.94565616,35.08201124,22.09935565,86.9723326,13.0276674,15.09845367,1.958456079,0.434762923,4.307035578,39.83166597,1.087449695,945.5602164,53.02248466,16.65537033,5.508767882,3.400904951,20.05627528,25.56504316,27.4574415,48.1833106,51.8166894,55.78180767,37.38070176,75.78798578,67.0654439,22.47066628,26.1812808,9.171017194,17.01026361,5.835951709,60.49951927,34.42550757,65.57449243,,,,1.745837512,461.3843997,416.0160352,68,243,0.279835391,50,0.205761317,110.3333333,236.5,0.466861191,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_F_s5,33.77925201,17.28204019,195.8122487,25.73796418,9.240752364,34.97871654,8.041287825,43.02000437,78.61071234,40.53713193,25.5306461,80.85215573,19.14784427,24.18476309,1.955269967,0.493854198,6.045482235,43.16209354,1.4031741,670.6823164,59.59176944,16.41751348,5.890185686,6.341787267,22.75930074,28.64948643,30.94228301,48.10378945,51.89621055,50.50169545,33.90370603,76.57447735,70.67121353,19.77703714,28.99153005,14.34841621,14.64311384,8.045061447,75.81072357,49.59135152,50.40864848,,,,1.636877407,547.4100934,547.6748327,66.33333333,244.3333333,0.271534515,48.33333333,0.197836512,113.3333333,237.3333333,0.477585127,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_F_s6,31.922784,16.7944068,189.7759911,24.6555276,9.527150398,34.18267799,7.267256407,41.4499344,76.90912412,41.01995773,24.3585954,82.07091814,17.92908186,21.99823849,1.690379826,0.407736035,5.979732195,50.92815899,1.171482028,803.4602814,59.77645322,18.38486211,6.302683391,4.915959908,23.30082202,29.60350541,30.17294781,49.35212426,50.64787574,57.23716142,35.08138684,75.48016459,73.31147521,25.09368616,32.29416533,13.95544003,18.3387253,7.752511959,69.38329393,43.31029066,56.68970934,,,,1.778969951,580.6286954,469.3924305,64,243.6666667,0.262699858,46.33333333,0.190177427,115,240.3333333,0.478492393,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_F_s7,30.91628664,16.04320318,194.8434157,23.36964962,8.496566164,31.86621579,7.546637018,39.41285281,78.54103166,40.60626541,23.47974491,80.85270293,19.14729707,23.9737169,1.777119198,0.419340409,6.351116274,41.57986842,1.53562905,610.5212976,65.55324755,18.57743656,6.564953512,5.804042734,24.3814793,30.94643281,34.60681475,47.13636894,52.86363106,60.25520262,38.00174215,80.63148496,78.88206768,25.95652575,33.23625592,15.11066485,18.12559107,9.528421326,73.79664375,45.67454776,54.32545224,,,,1.905780222,598.0408888,488.3501305,65.33333333,244.3333333,0.267397123,49.33333333,0.201918144,136,239.3333333,0.566666667,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_F_s8,25.80910895,15.19128653,174.0118504,21.04222322,10.4244008,31.46662402,4.766885732,36.23350975,71.26846562,41.84336848,20.50019774,86.8881659,13.1118341,15.2180293,1.911132346,0.407780549,4.345295769,32.96423526,1.30330462,745.7992813,52.85279895,13.31837381,5.953009504,3.669482577,16.98785639,22.94086589,33.52692714,40.62646096,59.37353904,52.66179541,33.68185213,63.03854875,67.17118998,20.76378515,26.67699918,9.582893347,16.55227033,5.675818374,50.55416814,36.66666667,63.33333333,,,,1.722368131,568.3329135,410.0246768,60,243.6666667,0.246399177,46.5,0.190953248,126,238,0.529435625,AAA_E27F.xls,AAA_E27,,,,
Female,AAA_E28_hF_F_s1,32.65367018,16.45976015,198.0096502,25.79073006,9.715965161,35.41873881,6.862940123,42.28167893,77.22888732,39.00258763,24.57230953,83.76852505,16.23147495,19.37657961,1.81824285,0.416252238,6.272644739,35.0384338,1.761309918,532.4870875,77.69368908,22.80684305,9.306253235,6.614282872,29.42112592,39.23811418,43.60453551,47.36462961,52.63537039,69.84465428,53.15458348,94.86447932,90.10051782,22.60678163,24.83151945,12.64173463,15.7648697,6.355679332,71.56353873,44.50280112,55.49719888,,,,1.540263072,847.7501111,444.0632195,62.33333333,244,0.255467326,33.66666667,0.137974126,148.3333333,237.6666667,0.624434074,AAA_E28F.xls,AAA_E28,107,188.5,,
,AAA_E28_hF_F_s2,40.22613536,16.76990789,244.1850991,32.22396836,8.767740892,40.99170925,8.002167,48.99387625,82.08595088,34.34047214,28.49802163,83.57357698,16.42642302,19.74662363,2.368874103,0.674986385,7.309131263,38.89508944,1.886206328,494.9575118,77.11692148,26.46899849,7.629859425,7.567507133,34.03650562,41.66636505,35.45055643,54.17307565,45.82692435,67.64941974,40.86743512,88.04182583,87.2253865,25.39125534,29.31210695,12.84716961,16.46493734,6.958303528,83.23005382,44.57710852,55.42289148,,,,1.304840865,889.7720165,427.1817654,76.33333333,243,0.314132521,36.66666667,0.150904688,117,237.3333333,0.493062332,AAA_E28F.xls,AAA_E28,116.6666667,182.3333333,,
,AAA_E28_hF_F_s3,44.90099468,21.15035386,215.1041864,32.61016186,8.859521041,41.4696829,12.29083282,53.76051572,83.52326189,39.24940842,33.02567427,77.22732969,22.77267031,29.82009704,1.734153056,0.566803335,8.172855441,46.83877576,1.746971945,525.9616253,76.49467649,29.81162981,7.30958231,8.742833743,38.55446355,45.86404586,30.63063063,59.95717345,40.04282655,67.8471575,37.91821561,92.12513484,87.74464119,24.19123669,26.75709592,14.45967046,12.29742546,9.438984439,80.43641013,54.00809825,45.99190175,,,,1.198661386,800.6725719,434.862623,85,240.3333333,0.353638899,39,0.162250212,116.6666667,236,0.494505596,AAA_E28F.xls,AAA_E28,112.6666667,191.6666667,,
,AAA_E28_hF_F_s4,41.00777867,18.68404809,220.4888018,30.64287269,8.319142109,38.96201479,10.36490598,49.32692078,83.16153043,37.81452971,29.84591338,79.02393986,20.97606014,26.58497121,2.025147045,0.594176385,5.765119693,37.84984428,1.257226075,757.9798021,78.48001916,26.33399107,6.924745773,9.313923705,35.64791477,42.57266055,35.90735862,54.18567299,45.81432701,64.14234383,33.44194824,92.60259245,86.84015566,23.33323551,25.39618908,12.09142282,13.30476627,7.959034638,73.16393921,47.36972182,52.63027818,,,,1.94964558,1035.487167,329.5013708,94,243.3333333,0.386651538,46,0.189269747,166,238.6666667,0.694560669,AAA_E28F.xls,AAA_E28,114.5,181,,
,AAA_E28_hF_F_s5,40.71966208,17.20715721,236.8032404,30.61363364,7.101128772,37.71476241,10.10602844,47.82079085,85.09579731,35.96709453,28.96340965,78.93710816,21.06289184,26.70999771,1.82744415,0.52619356,6.087647016,42.73047745,1.415446956,669.374063,76.95559016,26.85197451,7.11078389,8.694535533,35.54651004,42.65729393,34.29829623,55.48469341,44.51530659,65.93316152,38.0791699,92.98717925,87.29820187,24.38324267,26.27869958,12.57829427,13.7004053,8.137882539,75.31909824,47.64095084,52.35904916,,,,1.387775212,982.1450429,366.8591857,87.66666667,242,0.362581246,43,0.17774122,131.6666667,237.6666667,0.554321021,AAA_E28F.xls,AAA_E28,112.6666667,182.6666667,,
,AAA_E28_hF_F_s6,43.64886968,22.07442525,195.859496,32.28431204,12.39897348,45.99308935,9.675451766,55.66854111,77.72662018,39.7102496,32.67199644,82.56313022,17.43686978,21.13692575,1.736144775,0.567422267,5.774687475,43.92262289,1.323184737,719.8885612,78.82074499,28.68606329,10.71038423,8.887713319,39.10646784,49.81685207,29.04902354,63.13673698,36.86326302,65.74458769,45.90382639,93.69811321,90.39014593,27.58552563,28.23057805,16.6510867,11.32273896,10.44636597,76.03182175,59.52380952,40.47619048,,,,1.425341374,970.1948459,359.115976,85.5,241.6666667,0.353474037,43,0.177757287,145.5,239.3333333,0.603598485,AAA_E28F.xls,AAA_E28,118,177.5,,
,AAA_E28_hF_F_s7,43.34587585,13.87380897,314.9438442,35.47596993,6.003903059,41.47987299,7.869905913,49.34977891,87.84106931,28.07920471,28.60984241,84.07972597,15.92027403,18.94478214,1.833938893,0.543011284,5.603930294,40.00997386,1.40232963,688.9827728,76.37061985,29.1338032,5.234254746,6.483550914,35.61735411,40.85160886,35.51901099,53.50312293,46.49687707,67.2641134,36.75513484,88.61607968,82.09104498,29.53032061,30.20837856,16.08843354,14.11994502,12.21977342,82.68651807,53.50737827,46.49262173,,,,1.636792489,1027.127618,344.8549648,85.66666667,242.6666667,0.353059212,39.66666667,0.163452709,103.6666667,237.6666667,0.436453826,AAA_E28F.xls,AAA_E28,106.5,184.5,,
,AAA_E28_hF_F_s8,32.85852713,17.08066355,180.5644302,25.76550388,10.3818073,36.87015504,7.093023256,43.96317829,74.74101829,41.39299096,25.52810078,83.86599074,16.13400926,19.23784494,2.239376194,0.506238272,7.563906164,40.73822728,1.60097562,583.8809036,70.74486197,21.24031008,8.115755766,5.319767442,26.56007752,34.74806202,35.49418605,49.46889226,50.53110774,64.64169861,42.64615945,87.42038217,80.83161309,22.09289281,25.4878131,11.24031008,12.53875969,5.736434109,81.45119892,47.26976365,52.73023635,,,,1.693582527,994.2679817,351.881457,62,243.3333333,0.254098361,28,0.114754098,126.6666667,235,0.539312879,AAA_E28F.xls,AAA_E28,108.5,184,,
Female,AAA_E29_hF_F_s1,40.82958244,14.77599469,283.8576538,33.44514371,7.39155596,40.83669967,7.384438731,48.2211384,84.7711733,30.61047786,27.80278856,84.61834884,15.38165116,18.28144009,1.866850891,0.504266607,8.546911517,46.90683315,1.823148691,505.7302353,78.55321782,27.47994322,6.409365515,6.626128607,34.10607183,40.51543734,38.03778047,51.65186602,48.34813398,69.03512995,39.36376397,85.83141906,85.67950306,30.62496346,30.30435543,17.47419976,12.83015568,,85.87690527,57.66233766,42.33766234,,,,1.19282773,629.3339965,599.011434,85,240.6666667,0.353198479,38,0.15790687,150.6666667,233.3333333,0.646077763,AAA_E29F.xls,AAA_E29,116.6666667,201.3333333,,
,AAA_E29_hF_F_s2,38.56395386,12.90148684,298.7946324,33.29755549,7.635088468,40.93264395,5.266398374,46.19904233,83.49640598,27.93986569,25.73272035,88.56372833,11.43627167,13.09490314,1.771253297,0.46763187,9.055393549,48.72537102,1.851198168,494.8633651,80.90929585,29.91662075,6.767964226,4.105707079,34.02232783,40.79029205,40.1190038,50.39730074,49.60269926,77.67062062,50.00565714,92.7185374,88.18926655,23.29221245,25.01188331,11.5236874,13.4881959,7.857003856,87.8500758,45.85049118,54.14950882,,,,1.013134531,655.4152148,626.6107547,82,240.6666667,0.340867,36,0.149655898,130,226.3333333,0.575376831,AAA_E29F.xls,AAA_E29,123.3333333,206,,
,AAA_E29_hF_F_s3,38.62766315,18.64374005,207.780647,30.75476071,10.77083761,41.52559832,7.872902439,49.39850076,78.18448145,37.70252624,28.6357016,84.11299231,15.88700769,19.09597598,1.523790508,0.440469103,6.287738642,42.44839239,1.612062034,587.9274413,81.66052594,27.46166945,10.17039355,6.693639667,34.15530911,44.32570266,37.33482328,54.2859581,45.7140419,71.34120528,53.78138771,93.99763624,88.55609758,19.13561717,20.81351032,10.67450314,10.13900717,5.949847195,78.32306524,51.2500501,48.7499499,,,,1.317408824,628.0944413,526.6317158,82,242,0.338842975,37.33333333,0.154269972,130.6666667,237.3333333,0.550763219,AAA_E29F.xls,AAA_E29,105.6666667,178,,
