Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,AP_Intensity,TRAP_Intensity,exp_name,gene_symbol,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N
,Adck2_E01_hF_F_s3,37.41209231,,,37.41209231,,,,,,,,,,,,,8.307712692,43.52562144,1.809493352,516.5073514,52.86205523,26.26416265,,,,,,,,70.17926163,,,,9.377923712,16.25882711,,,,88.14969814,,,,,,1.695604805,786.8676828,428.9502108,76.66666667,249.3333333,0.307537634,35.33333333,0.141709677,,241,,94.66666667,165,Adck2_E01F_v2.xls,Adck2,28.23062917,20.58600675,
,Adck2_E01_hF_F_s4,41.9647098,19.85686231,211.7995602,33.22801326,11.12016577,44.34817903,8.73669654,53.08487557,79.15622792,37.39783438,30.91078606,83.4459377,16.5540623,19.94467818,1.462242026,0.464831317,6.460874758,43.91452973,1.459492396,653.005272,,,,,,,,,,,,,,,22.33711181,12.76008408,9.577027728,,83.92197813,57.12502237,42.87497763,,,,2.190360423,916.0589385,374.3684956,94.66666667,250,0.378666667,40.66666667,0.162666667,128.3333333,242,0.53030303,92.33333333,166,Adck2_E01F_v2.xls,Adck2,25.48865593,21.33561159,
,Adck2_E01_hF_F_s5,39.20526243,19.13502814,205.4681178,30.07296007,10.00272578,40.07568585,9.132302359,49.20798821,79.67972607,38.85925067,29.17014528,81.46102326,18.53897674,22.78020337,2.406000966,0.703130136,7.225729498,46.02342404,1.578933404,618.1614743,48.17632873,18.33392498,4.022816236,5.977842283,24.31176726,28.3345835,19.84174523,58.97897262,41.02102738,46.71682313,20.32642786,66.10321326,61.97826558,8.29412223,17.7816706,10.25580171,7.525868892,3.916445274,83.57210383,57.66219032,42.33780968,,,,1.202439726,713.3318691,475.7814364,92.33333333,249.3333333,0.370333333,41.33333333,0.165795699,183.3333333,238.6666667,0.768475724,88,165.5,Adck2_E01F_v2.xls,Adck2,26.86536303,20.45560514,
,Adck2_E01_hF_F_s6,36.48912069,23.35389741,156.9843417,25.20049181,12.06526852,37.26576033,11.28862888,48.55438921,75.17298989,48.16330993,29.92150905,76.66370018,23.33629982,30.72698676,1.937162195,0.580497171,7.831312591,46.64106607,1.683968903,584.1319434,54.54225898,19.50541939,6.092656165,7.121763109,26.62718249,32.71983866,21.82242032,60.17007199,39.82992801,53.42224629,25.13882973,71.94012933,72.94495606,5.206017324,8.789575393,5.168400607,3.621174787,1.681385662,86.70757548,60.69343575,39.30656425,,,,1.558512939,941.9428057,569.9271675,87.66666667,250,0.350666667,41,0.164,187,236.6666667,0.794609364,88.33333333,132.6666667,Adck2_E01F_v2.xls,Adck2,28.4521923,18.59605358,
,Adck2_E01_hF_F_s7,38.18596271,24.02005777,143.1313991,27.18659857,14.36148283,42.84232108,10.99936414,53.84168523,70.8918136,49.55226946,32.42052468,79.55591694,20.44408306,25.69940586,1.795719507,0.548920979,6.481986036,47.472384,1.369291041,688.8509005,55.58043278,20.39877622,7.077964078,7.72082896,28.11960518,35.56814852,20.25258745,63.67448859,36.32551141,53.2287937,29.06988139,74.88518743,73.40532749,7.663339917,12.65405417,9.148387625,4.928179735,2.66514242,82.11932562,64.96839809,35.03160191,,,,1.201977705,783.2789551,506.5258131,79.5,250,0.318,34.5,0.138,156.6666667,238.6666667,0.656111749,84,128.3333333,Adck2_E01F_v2.xls,Adck2,27.57930545,18.53578522,
,Adck2_E01_hF_F_s8,39.41677251,20.89507645,192.3709509,28.41685311,9.895157049,38.31201016,10.9999194,49.31192956,80.15542224,42.05876503,30.15592448,77.78581272,22.21418728,28.58032865,1.76562122,0.530312594,7.7582616,42.52423126,1.816299298,509.4238586,41.73903178,16.13693269,4.067243028,5.954705492,22.09163818,26.15888121,15.58015057,61.43904575,38.56095425,40.45452554,16.9210842,59.30108986,55.20769788,5.594950641,11.29520798,5.870286542,5.424921437,2.391443427,85.42124837,55.23143841,44.76856159,,,,1.311983504,645.8872248,538.5384739,89.33333333,250,0.357333333,43.33333333,0.173333333,181,236.3333333,0.766609036,90,150.3333333,Adck2_E01F_v2.xls,Adck2,28.6551789,18.59968917,
Female,Akap11_E01_hF_F_s1,37.46588477,22.89941063,164.6739723,26.26215167,11.69567753,37.9578292,11.2037331,49.1615623,76.15339851,46.66501511,30.1826477,77.18158638,22.81841362,29.64671617,2.010424653,0.607974958,6.392067045,44.24289346,1.299946051,729.7621581,57.74725275,17.56043956,7.604395604,7.307692308,24.86813187,32.47252747,25.27472527,56.23215985,43.76784015,50.56962025,29.48444823,70.29598309,71.61392405,10.85714286,17.9593929,9.079450395,8.879942508,3.472527473,77.87366725,50.42078087,49.57921913,,,,2.073839859,831.148824,402.7953356,75.66666667,251,0.301460823,32.33333333,0.128818061,138.6666667,225,0.620451881,96,162,Akap11_E01F_v2.xls,Akap11,26.79270343,20.97120543,
,Akap11_E01_hF_F_s2,37.60607848,16.7230444,241.3400759,31.35120235,9.291754757,42.21987315,7.431289641,49.65116279,81.28592719,33.68107303,28.54122622,85.03299979,14.96700021,17.6014021,1.911932757,0.561564681,7.044220591,42.35940577,1.485422006,631.1275827,63.7967979,24.53769376,5.835095137,5.898520085,32.87526427,38.71035941,28.68921776,57.43412798,42.56587202,64.95451552,34.56480902,89.28,81.45625982,12.74689122,17.70513987,6.923890063,8.22410148,4.418604651,79.61821908,45.70830426,54.29169574,,,,1.907600623,890.1486606,397.1541719,77.33333333,250.3333333,0.308918991,35,0.139824701,151,234.6666667,0.644142231,90.66666667,157,Akap11_E01F_v2.xls,Akap11,28.48857067,22.26784542,
,Akap11_E01_hF_F_s3,34.13970712,22.89896618,151.0797991,24.87864369,13.63790276,38.51654645,9.261063426,47.77760988,71.43636906,47.89745403,28.51933665,80.66617691,19.33382309,24.09851492,2.128877408,0.609123949,7.606945186,41.42942092,1.823491855,510.2097673,70.35944998,20.40460118,10.12794345,7.17293552,27.5775367,37.70548015,32.65396984,53.55295001,46.44704999,59.54225111,41.98901247,80.31767995,80.35937467,18.35497934,21.74637025,11.18128032,10.56508993,5.587918147,77.57626139,51.28608243,48.71391757,,,,2.278904402,986.3451195,384.7272116,77.33333333,251,0.30810093,33.33333333,0.132802125,143.5,238.6666667,0.601291563,99,165,Akap11_E01F_v2.xls,Akap11,29.84279963,23.18072181,
,Akap11_E01_hF_F_s4,36.41636856,20.52742484,160.5325503,26.57005417,11.28006079,39.41875011,9.84631439,49.2650645,73.98053753,46.0823495,29.55568945,79.93711296,20.06288704,25.13003917,1.711832193,0.534491468,6.238290462,41.01403707,1.437025099,657.1367171,72.60480321,22.88729522,8.724466862,8.22942541,31.11672063,40.21951985,29.19281795,57.84886232,42.15113768,62.77806446,40.66401592,88.35834822,85.34164886,17.59426082,20.65536769,9.96674176,8.56880628,4.860520032,74.97961579,53.66360353,46.33639647,,,,2.159372001,859.3014758,437.8620803,81,251,0.322709163,40,0.15936255,128,234.3333333,0.554112554,94,153,Akap11_E01F_v2.xls,Akap11,27.88816184,20.85060856,
,Akap11_E01_hF_F_s5,31.99865435,25.43060585,121.414914,20.78083298,16.50184084,38.4404584,9.628799203,48.0692576,65.82016066,54.21093548,28.8490284,79.96890386,20.03109614,25.04860661,2.29085559,0.669785503,5.216869382,36.65739802,1.424781198,667.8522379,69.84413169,16.39434463,13.34833835,6.751370204,24.47683109,37.66816143,32.58594918,53.61702128,46.38297872,51.28767309,49.69353231,74.75862069,77.36220472,18.63038381,22.04248482,11.19830593,8.27105132,5.568011958,83.32335176,57.51759437,42.48240563,,,,1.706703396,748.7206072,459.3166428,70.5,250.3333333,0.281418327,32.5,0.129729084,144.6666667,234.6666667,0.617094271,91.66666667,156.5,Akap11_E01F_v2.xls,Akap11,25.87172163,21.03943346,
,Akap11_E01_hF_F_s6,32.56841811,21.51216649,151.2095952,24.50428155,13.44802992,37.95231147,8.064136567,46.01644803,70.61400266,46.71453589,27.0402923,82.67146145,17.32853855,21.11439038,1.610508762,0.431721808,5.636976011,39.06988433,1.431632565,675.7272912,71.7515355,20.57627417,10.30224645,6.88913103,27.4654052,37.76765166,33.98388385,52.42338958,47.57661042,63.1343555,46.60747262,89.37163978,83.95294067,15.47805321,20.4190763,9.928950037,10.49012626,5.201665055,78.47808873,49.45486669,50.54513331,,,,1.920109437,775.7229846,430.8481626,68,250.6666667,0.271458167,32.5,0.129737052,131.6666667,236.6666667,0.556128403,90,162,Akap11_E01F_v2.xls,Akap11,25.95955758,20.59039527,
,Akap11_E01_hF_F_s7,37.2257564,20.77846521,198.1080193,27.5276018,10.28982166,36.63743416,9.698154601,46.33558876,80.26150754,40.53137048,28.01687168,79.20712198,20.79287802,26.47545565,1.958906939,0.518116767,6.109529845,44.0975132,1.382143395,684.4643784,68.17712484,22.28028543,7.111010103,8.172855148,30.45314058,36.80635918,29.41215289,55.52554588,44.47445412,59.92466589,32.19903957,88.27137848,81.49462598,18.11858833,19.72564495,10.42012752,9.305517427,6.422162977,82.19617787,53.40587694,46.59412306,,,,2.421300793,861.71966,393.4467331,85,250,0.34,36.66666667,0.146666667,126,237.6666667,0.530243759,97.66666667,159,Akap11_E01F_v2.xls,Akap11,26.45527343,21.96783075,
,Akap11_E01_hF_F_s8,34.88715721,18.80336886,175.686287,25.43531915,10.95712038,36.08079625,7.846248477,43.92704473,75.08928849,42.95514053,25.8866466,81.95557098,18.04442902,22.30450096,2.407022407,0.630770605,8.351454211,49.69100559,1.786780106,513.4404806,61.18856993,20.47791952,6.794324727,6.50687162,26.14662967,32.9409544,25.28047722,56.76798483,43.23201517,58.73455337,34.66116725,88.18973512,79.42829373,10.50564662,16.15876604,7.057084796,8.950674303,2.51246998,82.17377406,44.08540104,55.91459896,,,,1.971893299,839.0649204,,72.66666667,251,0.289508632,33,0.131474104,153.5,239.6666667,0.643433544,88,158.3333333,Akap11_E01F_v2.xls,Akap11,26.34462413,21.10587188,
Female,Arrb1_E01_hF_F_s1,34.97175466,,,20.93026245,,,,,,,,,,,1.647894335,,6.63529556,46.97351475,1.425303966,656.472931,69.08215812,18.91615397,,,,,,,,55.2917028,,,,10.02829611,15.46626232,,,,76.51593011,,,,,,1.659027663,778.5940204,381.3402367,70,240,0.291774197,34,0.141642474,92.66666667,232,0.3995765,103.5,146.5,Arrb1_E01F_v2.xls,Arrb1,28.24862156,19.97792222,
,Arrb1_E01_hF_F_s2,37.13907259,10.5369799,364.0207428,32.80926117,6.207168476,39.01642964,4.329811424,43.34624107,85.67906557,24.39198279,23.83802625,89.92895164,10.07104836,11.2393894,1.040105194,0.247079906,4.035424332,36.46547311,1.105181302,877.262811,73.03190269,27.53588223,4.875868861,3.211202837,30.74708506,35.62295392,37.40894876,48.73049254,51.26950746,73.91040891,41.68999655,91.28819425,82.61793108,22.53115396,25.95750469,14.40416517,11.55333951,10.43838477,80.4585192,55.39411597,44.60588403,,,,1.956261062,755.357341,344.1216211,93,237,0.394067797,39,0.165254237,129.3333333,233.3333333,0.554447362,113,171.3333333,Arrb1_E01F_v2.xls,Arrb1,30.32895385,20.61870886,
,Arrb1_E01_hF_F_s3,36.96073604,10.18370878,369.7278194,31.85106242,5.074035152,36.92509757,5.109673624,42.03477119,87.94707737,24.16477004,23.57222241,87.8881526,12.1118474,13.94162359,1.588940894,0.37672998,5.552695443,40.16907502,1.223701691,777.3461154,75.37037761,26.94398869,4.662068111,3.928544497,30.87253319,35.5346013,39.83577631,47.28244593,52.71755407,73.05817678,42.57175049,88.17670246,83.53536158,18.07634853,19.82279863,8.735815769,11.08698286,6.20600125,78.99413752,44.20425918,55.79574082,,,,1.652655112,726.5366955,393.669638,79.5,238.6666667,0.330661894,40,0.166597503,94.5,234,0.404744874,100.5,150.3333333,Arrb1_E01F_v2.xls,Arrb1,29.22177657,19.22372219,
,Arrb1_E01_hF_F_s4,38.49285878,13.38981129,303.0662173,31.24478433,6.884749085,36.80382212,7.248074449,44.05189657,87.31986625,29.00907985,25.64998551,83.6710539,16.3289461,20.06246466,1.790224701,0.544803085,3.276523877,35.70789524,0.928796249,1052.28701,80.3249853,26.7523486,6.280698067,6.786186916,33.53853551,38.30399244,39.42647616,49.27301198,50.72698802,70.00751699,41.86943354,90.40206027,87.22111973,21.99488264,24.09030677,8.348287103,15.81071062,6.067023907,68.91396392,34.66818546,65.33181454,,,,1.571629442,694.7731469,353.4038933,67.66666667,239.3333333,0.282685107,34.66666667,0.14459095,112.6666667,232.6666667,0.483834212,100.6666667,167,Arrb1_E01F_v2.xls,Arrb1,25.41912565,20.12494305,
