Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
Cd84_E01_F06_CV,5737,24.58,51.6,5.126,191.8,223.3471,239.382,805.135,1.2828,0.3153,1.1277,12.1062,41.8712,9.437324602,12.51286822,1.9337,Cd84_E01_CV.xlsx,Cd84
Cd84_E01_F07_CV,5738,25.94,53.2,5.3341,183,195.4975,248.708,800.542,1.3274,0.3443,0.9138,12.5105,39.3041,9.424815429,12.725562,1.9267,Cd84_E01_CV.xlsx,Cd84
Cd84_E01_F08_CV,5739,21.68,49.7,5.0599,196.3,208.5616,217.6678,769.501,1.2634,0.2739,1.2846,11.0936,44.5026,8.780750356,11.21131885,1.8935,Cd84_E01_CV.xlsx,Cd84
Cdk15_E01_F01_CV,6878,27.38,55.3,5.0427,194.8,221.9615,251.6311,769.8498,1.7593,0.4818,0.6464,17.3092,38.1674,9.838685841,13.54927593,1.8285,Cdk15_E01_CV.xlsx,Cdk15
Cdk15_E01_F02_CV,6879,26.83,55.2,5.091,191.3,193.9326,255.1805,826.0841,1.5521,0.4165,0.5337,14.7151,37.4797,9.480767992,12.95799577,1.9968,Cdk15_E01_CV.xlsx,Cdk15
Cdk15_E01_F03_CV,6880,21.44,54.5,4.7488,205.2,165.7719,216.1366,802.4211,1.5925,0.3415,1.372,12.7885,40.9547,8.030455259,10.2226219,1.975,Cdk15_E01_CV.xlsx,Cdk15
Cdk15_E01_F04_CV,6881,22.53,51.8,4.4663,224.6,228.7253,220.7996,776.8095,1.7313,0.39,1.0245,15.0229,42.0171,8.677236759,11.20025349,1.6498,Cdk15_E01_CV.xlsx,Cdk15
Cdk15_E01_F05_CV,6883,22.05,52.9,4.5652,218.9,179.8527,215.2319,771.5201,1.5401,0.3397,1.0978,12.7366,40.773,8.269982469,10.61029657,1.781,Cdk15_E01_CV.xlsx,Cdk15
Cdk15_E01_F06_CV,6884,22.51,53.1,4.3805,228.8,174.1424,218.4334,790.5201,1.5505,0.3489,1.0428,12.7252,39.9409,8.207158981,10.59021305,1.7281,Cdk15_E01_CV.xlsx,Cdk15
Cdk15_E01_F07_CV,6885,21.47,52.7,4.3373,232.9,163.3995,211.1257,800.6116,1.5606,0.3351,1.0547,12.366,40.3643,7.923875433,10.09057528,1.8766,Cdk15_E01_CV.xlsx,Cdk15
