Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
AAA_E28_M02_CV,6650.0,23.18,49.099999999999994,5.7049,169.9,237.0238,232.4919,782.3076,1.4766,0.3423,1.3257,13.939,45.143,9.439929567926319,12.288636163272505,1.8209,AAA_E28_CV.xlsx,AAA_E28_CV.xlsx
AAA_E28_M03_CV,6651.0,23.06,48.7,5.762,169.2,248.3872,233.9535,795.3918,1.4534,0.3351,1.4252,13.7585,45.8416,9.466423558552359,12.303049271215237,1.7425,AAA_E28_CV.xlsx,AAA_E28_CV.xlsx
AAA_E28_M04_CV,6652.0,18.43,45.900000000000006,5.2599,186.6,189.0448,197.2759,780.2893,1.6901,0.3115,1.8754,13.4943,49.952,7.984320454410982,9.788408530393152,1.9406,AAA_E28_CV.xlsx,AAA_E28_CV.xlsx
AAA_E28_M05_CV,6654.0,29.89,58.7,5.7793,162,222.7799,281.9753,837.498,1.5666,0.4682,0.8359,16.3088,37.0075,10.410315332567345,14.84777858703569,2.0303,AAA_E28_CV.xlsx,AAA_E28_CV.xlsx
AAA_E28_M06_CV,6655.0,30.14,59.3,5.7248,165.3,203.7,283.7849,854.3405,1.5194,0.4579,0.79,15.6106,36.2784,10.274187179149664,14.706170513424398,2.1315,AAA_E28_CV.xlsx,AAA_E28_CV.xlsx
AAA_E29_M01_CV,7803.0,22.919999999999998,51.8,5.4347,178.79999999999998,196.5383,233.6055,807.1537,1.5493,0.355,1.3598,14.11,43.7517,9.107338798166914,11.814451980239472,1.8936,AAA_E29_CV.xlsx,AAA_E29_CV.xlsx
AAA_E29_M02_CV,7804.0,24.03,51.9,5.523,172.4,203.5945,238.6165,828.3808,1.4932,0.3588,1.2863,13.8219,42.3997,9.25656308598982,12.184326516220027,2.0621,AAA_E29_CV.xlsx,AAA_E29_CV.xlsx
AAA_E29_M03_CV,7805.0,26.71,57,5.4791,173.8,198.1562,260.1915,847.3807,1.5669,0.4186,1.0485,15.0692,38.8308,9.617205948050291,13.123051467386572,1.9458,AAA_E29_CV.xlsx,AAA_E29_CV.xlsx
AAA_E29_M04_CV,7806.0,26.86,53.6,5.8284,163.39999999999998,219.5071,261.1658,844.3881,1.5398,0.4136,1.0128,15.5815,40.81,10.119171320950773,13.835464393535784,2.0058,AAA_E29_CV.xlsx,AAA_E29_CV.xlsx
AAA_E29_M05_CV,7808.0,20.69,45.6,5.479,178.29999999999998,234.7189,212.6568,789.1281,1.6126,0.3337,1.4337,14.64,49.1405,9.078506759270743,11.44733755571194,1.8975,AAA_E29_CV.xlsx,AAA_E29_CV.xlsx
AAA_E29_M06_CV,7809.0,22.02,45.8,5.8331,166.7,250.476,222.4004,785.0915,1.565,0.3446,1.421,14.8992,48.4272,9.520255591054314,12.208456243854474,1.8118,AAA_E29_CV.xlsx,AAA_E29_CV.xlsx
AAA_E29_M07_CV,7810.0,22.38,48.300000000000004,5.6189,173.6,231.4817,224.6971,780.5677,1.5293,0.3422,1.358,14.0711,45.8724,9.20100699666514,11.853340072445455,1.8815,AAA_E29_CV.xlsx,AAA_E29_CV.xlsx
AAA_E29_M08_CV,7811.0,21.029999999999998,47.9,5.5032,178.4,228.6125,216.5542,778.967,1.9968,0.4199,1.5449,18.0579,47.7704,9.043419471153847,11.451518802714187,1.7447,AAA_E29_CV.xlsx,AAA_E29_CV.xlsx
AAA_E30_M01_CV,8389.0,29.68,59.5,5.6922,165.8,209.4427,280.4442,859.0731,1.9122,0.5675,0.7784,19.8591,36.8254,10.385472230938188,14.768424183832826,1.9686,AAA_E30_CV.xlsx,AAA_E30_CV.xlsx
AAA_E30_M02_CV,8390.0,31.65,57.1,6.1593,151,241.984,293.0413,841.395,1.7987,0.5692,0.5328,20.3479,37.3977,11.312559070439761,16.549735664904436,2.1239,AAA_E30_CV.xlsx,AAA_E30_CV.xlsx
AAA_E30_M03_CV,8391.0,31.269999999999996,61.1,5.912,155.79999999999998,214.7738,294.1548,861.3697,1.8787,0.5875,0.6602,19.6051,35.2751,10.435460690903284,15.183627633209419,2.1157,AAA_E30_CV.xlsx,AAA_E30_CV.xlsx
AAA_E30_M04_CV,8392.0,19.91,47.199999999999996,5.1461,190.5,209.5303,202.2868,799.2893,1.5368,0.3059,1.5414,13.3055,48.9522,8.657925559604374,10.809570233162727,1.8791,AAA_E30_CV.xlsx,AAA_E30_CV.xlsx
AAA_E30_M05_CV,8394.0,32.96,59.9,6.2417,148.2,213.2491,302.7849,824.4834,1.7046,0.5618,0.502,18.7831,35.1672,11.019066056552859,16.43603430171509,2.1049,AAA_E30_CV.xlsx,AAA_E30_CV.xlsx
AAA_E30_M06_CV,8395.0,22.31,48.300000000000004,5.5233,175.6,228.2367,223.8619,784.2563,1.7197,0.3837,1.3464,16.0106,46.112,9.310112228877129,11.983982035928143,1.7537,AAA_E30_CV.xlsx,AAA_E30_CV.xlsx
AAA_E30_M07_CV,8396.0,18.8,46.800000000000004,5.5357,175.5,193.9758,203.0524,828.4504,1.5466,0.2908,1.7881,12.7859,50.1502,8.267102030259926,10.181477942347508,1.9494,AAA_E30_CV.xlsx,AAA_E30_CV.xlsx
AAA_E30_M08_CV,8397.0,30.72,58.7,6.0569,157.20000000000002,226.9016,287.5431,850.4431,1.7981,0.5524,0.7442,18.9628,36.5449,10.546020799733052,15.222605763827568,2.0637,AAA_E30_CV.xlsx,AAA_E30_CV.xlsx
AAA_E31_M01_CV,9022.0,29.25,59.9,5.6419,162.5,163.1092,277.382,829.0768,1.4009,0.4098,0.8312,13.9424,36.1067,9.952459133414234,14.067601654727069,2.205,AAA_E31_CV.xlsx,AAA_E31_CV.xlsx
AAA_E31_M02_CV,9023.0,23.02,51.2,5.4425,174.9,199.523,229.6384,815.2966,1.8118,0.4171,1.393,16.7184,44.0591,9.227508555028148,11.9870939987094,1.984,AAA_E31_CV.xlsx,AAA_E31_CV.xlsx
AAA_E31_M03_CV,9024.0,24.22,54.1,5.5374,173.8,173.3441,242.7227,829.2856,1.3874,0.336,1.3063,12.6941,41.2727,9.149560328672337,12.073521019592926,2.0085,AAA_E31_CV.xlsx,AAA_E31_CV.xlsx
