Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,AP_Intensity,TRAP_Intensity,exp_name,gene_symbol,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N
,Adck2_E01_hF_M_s3,34.05130213,33.76959841,102.3916884,18.8529966,18.57129288,37.42428948,15.19830553,52.62259501,64.49673916,63.9143797,33.91045027,71.58888115,28.41111885,40.89878931,1.389508126,0.470591081,11.64870635,50.91038557,2.445071498,363.267299,13.06197787,3.314617751,2.626974575,3.886420316,7.201038068,9.828012643,3.233965232,74.85763709,25.14236291,9.841245245,6.880795513,25.57783044,21.4645334,1.570714539,7.535393515,5.008372659,2.527020856,0.882934998,90.49090285,66.46464646,33.53535354,,,,1.08716826,586.3596947,574.6636282,72,249.6666667,0.288666667,37.5,0.150329317,105,231,0.455741058,92,128.5,Adck2_E01F_v2.xls,Adck2,28.6861801,18.83914416,
,Adck2_E01_hF_M_s4,24.64650931,33.53418182,72.6729466,14.32797112,24.50324559,38.87284472,9.030936228,47.90378094,49.58667317,69.38467476,28.46735859,81.02865206,18.97134794,23.43423469,1.724084444,0.496478179,13.76372765,51.964581,2.634601346,332.9494293,7.321821246,2.040670455,1.625282261,1.21442734,3.571947091,5.197229352,1.683584554,70.31448276,29.68551724,8.519010457,3.849031936,13.58235544,15.46414817,1.537112415,12.48530476,7.460003595,6.093834262,0.692072623,96.89908518,55.0397878,44.9602122,,,,1.117807322,573.8760857,543.6884528,68.5,250,0.274092385,36,0.144034305,136.6666667,237,0.578459137,86,138,Adck2_E01F_v2.xls,Adck2,26.99674111,19.62120924,
,Adck2_E01_hF_M_s5,37.15696249,28.11421358,131.7529545,24.34782811,15.3050792,39.65290731,12.80913437,52.46204169,70.64862212,53.73003012,32.63558803,75.62134776,24.37865224,32.49086346,2.112970302,0.685911001,11.07742977,56.7594524,1.951575362,457.0586954,36.32508083,12.45067801,4.453908711,6.171952723,18.62263073,23.07653944,13.24854139,63.52919203,36.47080797,36.73270591,15.47767867,55.18345721,54.84088056,5.440542872,12.24836217,7.014439574,5.233922594,2.366613642,91.93337063,57.14929706,42.85070294,,,,1.55955741,776.391025,471.3608716,77.66666667,249.3333333,0.31155914,31.66666667,0.127,128.3333333,230.3333333,0.557712606,87.66666667,135,Adck2_E01F_v2.xls,Adck2,31.8746867,20.6280657,
,Adck2_E01_hF_M_s6,31.19797822,32.75400217,95.67450093,17.30415179,18.86017575,36.16432754,13.89382643,50.05815396,62.53432417,65.39771464,31.9759902,72.06796119,27.93203881,38.98647884,1.737232932,0.557150268,9.591414092,52.02299983,1.939438131,465.8360808,43.10014375,10.93275835,8.1935793,8.904328382,19.83708673,28.03066603,15.06947772,65.03613118,34.96386882,34.87009679,23.26530612,68.61538462,63.27050433,6.604376298,13.84860773,7.003594588,6.845013141,2.89889794,88.86074183,50.57619051,49.42380949,,,,1.81294246,612.5047051,408.57951,68.66666667,250.6666667,0.273954847,33.66666667,0.134316069,119.3333333,237,0.503534579,94.66666667,144.5,Adck2_E01F_v2.xls,Adck2,34.27621748,22.56373788,
,Adck2_E01_hF_M_s7,34.36176284,29.28712125,113.652414,21.67761378,19.49240468,43.01410049,9.794716573,52.80881706,63.02809934,55.45562746,31.30176682,81.5162732,18.4837268,22.7083254,2.193687832,0.666044617,10.24479914,50.70605091,2.031666376,465.4467969,39.30153208,11.0064591,7.304163726,4.763585039,17.12538226,24.42954599,14.52599388,62.71135266,37.28864734,33.13572028,24.80031949,55.02717391,55.13063234,6.09555934,12.85156457,7.261282286,5.314230261,1.893672077,90.64967254,57.71370814,42.28629186,,,,1.515822861,649.1245452,501.0941034,80,249.3333333,0.320801007,33,0.132300165,132,230.1666667,0.58137101,101.3333333,150.5,Adck2_E01F_v2.xls,Adck2,36.4895927,22.35126341,
,Adck2_E01_hF_M_s8,24.85737998,34.16261256,73.11178333,11.59602809,20.90126067,32.49728876,13.26135189,45.75864065,54.29367609,74.58585843,29.50999627,71.12046548,28.87953452,40.77117065,1.715473218,0.506161884,14.42576948,59.78358503,2.427437423,352.5290897,27.38526731,4.394567969,6.568018669,4.849750426,9.244318395,15.81233706,11.57293024,58.42336493,41.57663507,18.98142043,19.3267911,45.65326795,40.558663,2.284783671,6.858491636,3.233394391,3.625097246,0.59765341,88.15488819,46.81612145,53.18387855,,,,1.603925162,688.2420037,561.6173138,72.66666667,250.6666667,0.289917663,33.33333333,0.132982736,144,233.1666667,0.617438869,92,129.6666667,Adck2_E01F_v2.xls,Adck2,34.25172834,21.12720173,
Male,Akap11_E01_hF_M_s1,20.7907814,17.63784877,119.1103327,15.88388861,12.73095598,28.61484459,4.906892792,33.52173738,61.96885542,52.69464745,19.21431508,85.33649713,14.66350287,17.39048593,1.215277778,0.23810935,27.48086477,67.88758727,4.050364557,180.4857125,36.03628826,7.665974139,5.61941235,2.392346671,10.05832081,15.67773316,20.3585551,43.49403803,56.50596197,39.09657996,27.57347308,62.09840018,51.24385838,4.809248003,8.267003749,2.392443808,5.874559941,0.672827497,93.56059467,30.63857058,69.36142942,,,,1.170841089,569.3194721,679.848682,56.66666667,251,0.225763612,29.33333333,0.11686587,82,233,0.352144852,72.33333333,130.3333333,Akap11_E01F_v2.xls,Akap11,24.28575569,19.63673371,
,Akap11_E01_hF_M_s2,17.59548167,19.39805935,95.73973391,12.65763782,14.4602155,27.11785332,4.937843851,32.05569717,55.6222123,59.91641417,18.49677051,84.46137353,15.53862647,18.50650024,1.346655884,0.24650501,,,,,41.97109103,6.749012841,7.288284264,2.628477254,9.377490095,16.66577436,25.30531667,38.77108923,61.22891077,38.91037873,34.10123618,57.85792118,54.11019363,3.4510229,6.079582705,2.250230129,3.829352576,0.926232438,70.05692854,36.74002567,63.25997433,,,,1.253896706,507.0598165,541.3094018,59,251,0.235059761,27.66666667,0.110225764,91.33333333,233.8333333,0.390854446,77,,Akap11_E01F_v2.xls,Akap11,25.58911732,19.00594168,
,Akap11_E01_hF_M_s3,20.01249912,25.8340664,77.71703247,12.22867123,18.05023851,30.27890974,7.783827889,38.06273763,52.56092615,67.90754433,22.92328276,79.53152953,20.46847047,25.80911293,1.283340388,0.29561546,22.15315778,59.69073591,3.730590811,212.9445369,42.15400048,7.60910912,9.740172949,4.179019413,11.78812853,21.52830148,20.625699,51.37568081,48.62431919,37.78788264,35.73569019,66.98291314,58.60473581,4.140373809,7.609227158,2.832210496,4.777016662,1.180200333,86.86696945,37.7930897,62.2069103,,,,1.046639956,586.9756542,665.3796451,60,251,0.239043825,31.5,0.125498008,100,230.1666667,0.431611438,78.33333333,134.6666667,Akap11_E01F_v2.xls,Akap11,25.00672295,20.09472541,
,Akap11_E01_hF_M_s4,19.23835468,19.36689997,100.4508943,13.98124301,14.1097883,28.09103131,5.257111672,33.34814298,57.60931115,58.1603869,19.30262733,84.23030195,15.76969805,18.72372651,1.526360055,0.293858855,25.3491413,61.85033715,4.09551773,183.4060378,35.9580979,7.613650038,6.962174879,2.297113052,9.91076309,16.87293797,19.08515993,46.90041508,53.09958492,40.36272063,33.51146557,50.79540774,52.881496,3.337449021,6.436869597,2.243083102,4.511079294,0.731682369,89.53881765,32.82642175,67.17357825,,,,1.140166598,546.3601529,643.452747,64,250.3333333,0.255498008,37,0.147705179,91,232.6666667,0.39157092,75.66666667,135.6666667,Akap11_E01F_v2.xls,Akap11,23.9538703,20.01224593,
,Akap11_E01_hF_M_s5,21.51340165,28.92992616,74.70464302,12.91663741,20.33316191,33.24979932,8.596764245,41.84656357,51.34803254,69.18898931,25.22166391,79.46297815,20.53702185,25.84820789,1.442616358,0.34995779,20.12628265,60.82192343,3.332403278,247.6247689,49.88176242,9.436568813,10.15191225,5.09293107,14.52949988,24.68141213,19.36959497,56.91461215,43.08538785,43.17632785,34.20472435,68.62238741,66.56679546,6.712003745,9.48203647,4.283004333,5.69235334,1.62382227,86.25611894,42.91099722,57.08900278,,,,1.466450366,680.0842508,599.6655237,57.33333333,250.3333333,0.229041169,30.33333333,0.121158035,102,226.3333333,0.435897436,82.33333333,136,Akap11_E01F_v2.xls,Akap11,26.91625868,20.50058722,
,Akap11_E01_hF_M_s6,20.41720161,18.31957028,113.7308067,13.91374919,10.97299032,25.82168235,6.503452421,32.32513477,63.67466543,56.55859357,19.4142936,79.76674101,20.23325899,25.39017682,1.237363366,0.247156757,23.4670722,64.70032657,3.618114419,212.8462918,53.13085354,10.07098681,7.286665129,4.085849861,14.15683667,22.00774915,29.78831396,42.51330397,57.48669603,49.31965419,37.5773512,75.62130291,69.42663027,7.0392184,8.377016907,4.097469355,7.137208383,1.774416766,96.51384667,36.47162341,63.52837659,,,,0.939867234,643.6670704,602.0425423,66,250.3333333,0.26364409,32,0.127824701,91.5,234,0.397812418,80.5,141.6666667,Akap11_E01F_v2.xls,Akap11,23.94169208,20.75938482,
,Akap11_E01_hF_M_s7,21.00037475,24.18452987,91.53372673,14.42480415,17.60895927,32.03376342,6.575570601,38.60933402,54.76692101,62.19787527,22.59245231,83.03520372,16.96479628,20.53055545,1.415069446,0.322188643,15.38284168,57.78561416,2.477431795,341.7856303,57.83075417,10.01456884,12.41559048,4.485453309,14.50002215,26.91561263,30.91514154,46.1839257,53.8160743,48.7108682,48.58049036,72.80479603,70.03934295,6.563089327,6.370277336,3.112716187,3.257561149,1.478115616,83.04592362,51.4935365,48.5064635,,,,1.218267701,626.8305787,595.499194,61.66666667,250.6666667,0.246034529,27.66666667,0.110363878,93,236.3333333,0.393525041,85,126.5,Akap11_E01F_v2.xls,Akap11,26.97631331,20.09364013,
,Akap11_E01_hF_M_s8,19.20103788,22.6881204,77.44406993,11.80496995,16.93737126,28.47873375,5.750749147,34.2294829,50.58483342,66.14978122,19.99011602,83.26538536,16.73461464,20.24109896,1.498253588,0.245190114,21.43192028,60.5124017,3.509367174,230.2441419,51.77169827,8.557703976,11.29519336,4.184976853,13.99789019,25.29308355,28.98915199,46.69219239,53.30780761,46.54921495,47.42985165,86.26724692,81.07329194,4.250874723,6.302420542,1.567548064,2.869449743,0.847224682,90.67385479,33.91000036,66.08999964,,,,1.356486787,681.0200097,632.247026,63.33333333,250.6666667,0.25263745,35.16666667,0.140260292,94.33333333,233.6666667,0.403883287,89.5,132.5,Akap11_E01F_v2.xls,Akap11,26.61787092,20.38631629,
Male,Arrb1_E01_hF_M_s1,37.98050573,17.10134022,271.4377783,32.48749911,9.248491189,42.09685743,5.49300662,47.58986405,79.73215275,31.83394716,26.54143533,88.43390009,11.56609991,13.12901218,1.964464464,0.521500735,4.28529204,38.69167705,1.112104462,918.6832312,71.19386542,25.81482668,7.649544752,3.816063421,29.6308901,37.9781924,32.55374048,53.98695209,46.01304791,67.16197334,44.77319853,78.92857143,77.38171627,12.37064547,14.00681719,7.188901345,7.58341341,3.641317887,83.14327566,48.83755493,51.16244507,,,,1.994200771,684.4287647,338.0401347,,236,,,,122.5,226.6666667,0.53628663,,165,Arrb1_E01F_v2.xls,Arrb1,36.34601147,20.01488872,
,Arrb1_E01_hF_M_s2,39.08503131,27.84795766,146.7829708,25.08093964,12.35427271,37.6377064,14.00409167,51.64179807,75.49396167,51.43174955,32.82294487,73.07428878,26.92571122,37.05649685,1.455009947,0.492493735,10.86975452,47.27793272,2.480236368,359.3619005,76.85050814,22.28227305,10.05675944,12.96134705,35.2436201,45.04118311,29.20185492,60.57629039,39.42370961,57.20743596,33.28892675,90.60330992,90.20603455,10.21807274,11.78863075,5.943151204,5.845479543,3.693369265,83.32114048,50.38275194,49.61724806,,,,1.289477108,798.8318906,479.5224635,72.33333333,241,0.300347459,37.66666667,0.156334995,125.3333333,230,0.546202164,112.5,161,Arrb1_E01F_v2.xls,Arrb1,34.16640402,20.86350247,
,Arrb1_E01_hF_M_s3,35.58476568,26.63302444,133.168514,22.08977806,13.13803682,35.22781488,13.49498762,48.7228025,72.81455639,54.73608495,31.10889506,72.44935867,27.55064133,38.05988018,1.493850086,0.460211263,8.232890377,43.47535386,1.878250018,492.8747484,75.88942307,19.59934372,11.55082322,9.903729454,29.50307318,41.0538964,34.83552667,54.15473087,45.84526913,61.7622824,45.11275834,95.36935674,92.7725116,13.29064537,14.17647763,7.167031133,7.009446501,3.581521146,78.58221077,51.72494452,48.27505548,,,,1.391312489,850.8185994,376.4901768,63.33333333,241,0.263039862,32.33333333,0.134162552,104,233.3333333,0.44634878,105.5,150.3333333,Arrb1_E01F_v2.xls,Arrb1,29.72969562,19.5484994,
,Arrb1_E01_hF_M_s4,36.74317267,29.47846001,124.7740207,21.32831303,14.06360037,35.39191339,15.41485965,50.80677304,72.27161168,57.97025831,33.11081634,69.75813001,30.24186999,43.57524247,1.736018121,0.57438982,8.211159388,43.74230386,1.870981562,495.8537744,79.2923501,19.49057116,12.41467257,13.78424495,33.27481611,45.68948868,33.60286141,57.59302247,42.40697753,53.24400533,40.09466721,92.66003507,90.48113321,14.48364529,15.85746468,8.181908336,7.675556347,4.760033644,86.57029279,51.61682087,48.38317913,,,,1.786275876,727.962551,377.5582921,61.33333333,242.3333333,0.253114762,34,0.140303144,113.3333333,238,0.476118291,94.66666667,148,Arrb1_E01F_v2.xls,Arrb1,27.57226017,19.70255532,
,Arrb1_E01_hF_M_s5,23.22196926,20.56564915,113.0588346,15.34542179,12.68910168,28.03452347,7.876547472,35.91107094,64.76715956,57.27758524,21.89380921,77.95525519,22.04474481,28.39790542,1.379257587,0.302349441,5.991700147,36.86453173,1.640897296,588.8554248,67.97449712,13.93429329,9.477814172,6.664445613,20.5987389,30.07655307,37.89794404,43.82076337,56.17923663,59.91738804,44.61996841,87.81856003,88.26341927,15.02504978,16.25041757,4.852034423,11.39838315,2.907473106,57.32850932,30.37517821,69.62482179,,,,1.542022259,662.5604404,312.6549414,45,243.5,0.184782972,29,0.119099661,101,239.3333333,0.421968722,81.66666667,155,Arrb1_E01F_v2.xls,Arrb1,21.13250065,18.6054862,
,Arrb1_E01_hF_M_s6,24.46241937,9.483419015,257.8210321,19.78717225,4.808171896,24.59534414,4.67524712,29.27059126,83.53403428,32.39780728,16.97291919,84.06815845,15.93184155,19.05832465,1.341464541,0.229100285,9.795017949,47.32991455,2.089419985,454.3358242,63.51298897,16.69223708,3.242716418,3.747119191,20.43935627,23.68207269,38.96170662,37.79284503,62.20715497,68.31798763,34.76702659,91.67654075,83.49893115,15.17216976,16.4090767,3.717798595,12.07552693,3.015222482,72.96459794,23.54031511,76.45968489,,,,1.594164046,566.0264753,445.5534481,44.66666667,242.6666667,0.184087522,29,0.119518584,78,240.3333333,0.32231405,82,156,Arrb1_E01F_v2.xls,Arrb1,21.73008469,18.35744003,
