Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
AAA_E34_F01_CV,9840.0,23.47,53.3,4.7112,213,205.786,224.5579,755.2344,1.5574,0.3656,0.9914,13.5356,40.3428,8.691151919866446,11.357274710521901,1.8017,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_F02_CV,9841.0,18.94,52.400000000000006,4.134,243.29999999999998,167.9305,198.0415,794.6959,1.581,0.2994,1.5571,11.7082,43.5301,7.405566097406704,9.135611735330835,1.6633,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_F03_CV,9842.0,28.09,54.4,5.3225,182.7,283.3605,261.7922,769.989,2.1174,0.5947,0.561,21.8276,38.9298,10.308680457164447,14.334800026269129,1.7484,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_F04_CV,9843.0,23.39,52.400000000000006,5.0644,196.8,209.8047,229.8472,801.3772,1.6372,0.3829,1.0685,14.595,41.3923,8.914610310285854,11.635972255441283,1.9481,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_F05_CV,9845.0,21.36,49.5,4.803,209.9,262.9159,208.5506,750.5018,1.4358,0.3067,1.3072,12.3187,45.113,8.579676835213817,10.910193959790984,1.9496,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_F06_CV,9846.0,22.55,55.199999999999996,4.4197,224.20000000000002,182.1404,219.4077,791.2856,1.4769,0.333,1.1467,12.0764,39.6367,8.176856930056198,10.557216539907333,1.7826,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_F07_CV,9847.0,23.599999999999998,55,4.4194,224.39999999999998,153.2776,232.6311,860.1866,1.3538,0.3195,0.8562,11.0981,37.7467,8.197739695671444,10.730058977085953,2.0462,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E34_F08_CV,9848.0,20.5,50.5,4.7965,206.9,214.3969,207.437,821.2819,1.3899,0.2849,1.516,11.3539,44.5102,8.168861069141665,10.275022624434389,1.8911,AAA_E34_CV.xlsx,AAA_E34_CV.xlsx
AAA_E35_F01_CV,10318.0,23.549999999999997,54.699999999999996,4.2046,240.1,222.6789,220.9388,806.3882,1.6459,0.3875,0.8925,14.1528,39.4329,8.598821313567045,11.24666242848061,1.7945,AAA_E35_CV.xlsx,AAA_E35_CV.xlsx
AAA_E35_F02_CV,10319.0,21.4,51.3,4.5332,217.20000000000002,183.7392,210.7081,787.0402,1.4232,0.3046,1.1938,11.6477,42.1015,8.184162450815064,10.412748077954586,1.7602,AAA_E35_CV.xlsx,AAA_E35_CV.xlsx
AAA_E35_F03_CV,10320.0,24.77,56.599999999999994,4.8375,202.6,174.8352,238.5469,804.3003,1.8532,0.459,0.8664,16.2806,37.723,8.785128426505503,11.677377707645963,1.9597,AAA_E35_CV.xlsx,AAA_E35_CV.xlsx
AAA_E35_F04_CV,10321.0,19.49,54,3.9901,256.1,141.3241,201.5909,825.3185,1.3338,0.2599,1.3344,9.4522,40.3835,7.086669665617033,8.801750628550144,1.9003,AAA_E35_CV.xlsx,AAA_E35_CV.xlsx
AAA_E35_F05_CV,10323.0,24.12,56.4,4.3709,228.9,190.6555,228.0377,767.2747,1.7728,0.4276,0.9762,15.0819,37.9975,8.507389440433213,11.211641391614629,1.7526,AAA_E35_CV.xlsx,AAA_E35_CV.xlsx
AAA_E35_F06_CV,10324.0,26.52,54.699999999999996,5.2261,188.4,237.5723,248.6384,759.619,1.8521,0.4912,0.6493,17.8112,38.6512,9.61675935424653,13.087809537805864,1.9026,AAA_E35_CV.xlsx,AAA_E35_CV.xlsx
AAA_E35_F07_CV,10325.0,22.95,51.5,4.9386,203.9,238.027,222.6788,743.5422,1.3843,0.3177,1.12,12.2776,42.5126,8.869175756700136,11.510969435589722,1.7842,AAA_E35_CV.xlsx,AAA_E35_CV.xlsx
AAA_E35_F08_CV,10326.0,22.14,56.2,4.1561,245.29999999999998,149.2535,217.2502,815.7142,1.5745,0.3487,1.1092,12.2496,38.1328,7.779993648777389,9.993147332354381,1.9666,AAA_E35_CV.xlsx,AAA_E35_CV.xlsx
AAA_E36_F01_CV,12215.0,22.720000000000002,54.800000000000004,4.5427,216.20000000000002,187.1485,222.122,797.0622,1.5763,0.3581,1.2276,13.2662,40.512,8.416037556302733,10.89000164176654,1.9729,AAA_E36_CV.xlsx,AAA_E36_CV.xlsx
AAA_E36_F02_CV,12216.0,25.91,56.7,4.8389,200,183.2428,250.4479,843.3441,1.6017,0.415,0.7957,14.5204,37.4654,9.065617781107575,12.235948428414934,2.0221,AAA_E36_CV.xlsx,AAA_E36_CV.xlsx
AAA_E36_F03_CV,12217.0,26.57,58.7,4.6014,206.2,172.7096,248.8472,836.0364,1.6675,0.4431,0.7856,14.8007,35.6366,8.875982008995503,12.088124795818361,1.8412,AAA_E36_CV.xlsx,AAA_E36_CV.xlsx
AAA_E36_F04_CV,12218.0,23.45,59.2,4.1765,245.2,176.253,224.7667,827.1976,1.5744,0.3693,1.0826,12.6308,36.9815,8.022611788617887,10.481121898597626,1.7916,AAA_E36_CV.xlsx,AAA_E36_CV.xlsx
AAA_E36_F05_CV,12220.0,24.5,54.800000000000004,4.7224,209,212.4618,234.9974,808.1281,1.3908,0.3408,0.9247,12.2649,39.1981,8.818593615185504,11.680857142857143,1.9206,AAA_E36_CV.xlsx,AAA_E36_CV.xlsx
AAA_E36_F06_CV,12221.0,26.05,56.5,4.9059,201.4,222.644,244.8802,751.8242,1.572,0.4096,0.8305,14.4609,37.8066,9.199045801526717,12.440554026152787,1.7435,AAA_E36_CV.xlsx,AAA_E36_CV.xlsx
AAA_E36_F07_CV,12222.0,21.13,50.9,4.8486,201.4,177.1769,210.7777,796.0182,1.4138,0.2988,1.2445,11.7024,43.0078,8.277266940161269,10.49542600896861,2.0079,AAA_E36_CV.xlsx,AAA_E36_CV.xlsx
AAA_E36_F08_CV,12223.0,20.28,48.5,4.6462,215.10000000000002,245.458,202.9132,782.4468,1.6418,0.3329,1.3865,13.7869,46.0791,8.397429650383724,10.533195813278326,1.766,AAA_E36_CV.xlsx,AAA_E36_CV.xlsx
AAA_E37_F01_CV,12531.0,22.939999999999998,54.800000000000004,4.7061,211,189.4494,227.4809,801.8644,1.7261,0.3959,1.2027,14.939,40.8398,8.654770870749088,11.230642008720492,1.8785,AAA_E37_CV.xlsx,AAA_E37_CV.xlsx
AAA_E37_F02_CV,12532.0,20.36,51.5,4.2873,235.4,157.354,203.6788,785.7179,1.2647,0.2575,1.1877,9.7147,41.7632,7.681426425239188,9.645254169976173,1.9804,AAA_E37_CV.xlsx,AAA_E37_CV.xlsx
AAA_E37_F03_CV,12533.0,23.1,54.9,4.6424,213.2,180.24,223.5139,776.6007,1.5785,0.3646,0.9283,13.2181,39.1118,8.373835920177383,10.888952961528956,1.7972,AAA_E37_CV.xlsx,AAA_E37_CV.xlsx
AAA_E37_F04_CV,12534.0,19.689999999999998,45.900000000000006,4.8299,206.9,242.117,200.8949,754.9561,1.4435,0.2842,1.4649,12.2709,48.8746,8.500796674748873,10.584749417752091,1.8418,AAA_E37_CV.xlsx,AAA_E37_CV.xlsx
AAA_E37_F05_CV,12536.0,26.27,56.099999999999994,4.9486,197.5,186.6662,249.752,804.5787,1.7491,0.4594,0.6754,16.1086,37.3909,9.20965067749128,12.490191517407148,1.8928,AAA_E37_CV.xlsx,AAA_E37_CV.xlsx
AAA_E37_F06_CV,12537.0,20.380000000000003,49.3,4.5126,223.70000000000002,246.9856,200.2685,724.6814,1.6418,0.3346,1.406,13.6035,45.5081,8.285722986965526,10.406594247246023,1.5999,AAA_E37_CV.xlsx,AAA_E37_CV.xlsx
AAA_E37_F07_CV,12538.0,20.200000000000003,48.4,4.8009,207.4,237.6962,204.3748,751.4762,1.6155,0.3263,1.3818,13.5622,46.4791,8.395047972763852,10.519857275829974,1.7727,AAA_E37_CV.xlsx,AAA_E37_CV.xlsx
AAA_E37_F08_CV,12539.0,21.48,51.4,4.7242,209.4,199.7652,213.7704,785.5091,1.8522,0.3978,1.1499,15.561,42.8671,8.401360544217686,10.699257425742573,1.7691,AAA_E37_CV.xlsx,AAA_E37_CV.xlsx
