Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,exp_name,gene_symbol,AP_Intensity,TRAP_Intensity,AP_Background_Intensity,TRAP_Background_Intensity
,AAA_E27_hF_M_s3,23.5450981,19.81495474,118.6184174,15.28549817,10.53916938,26.87254058,8.259599929,35.13214051,66.99487151,56.47703161,21.69587022,76.52809688,23.47190312,30.72227584,1.382641691,0.268002155,12.7540192,68.20518735,1.872342895,467.7023336,42.91112075,10.2435554,5.951366324,4.665182122,14.90873752,21.69262216,24.1107333,47.39802488,52.60197512,43.72546446,28.19078063,65.74683041,63.51109814,10.95901484,18.3857846,6.423112033,12.22750629,3.233468889,73.09119783,35.12055749,64.87944251,,,,1.33046253,465.6710634,608.8908356,52,244,0.213237236,37.66666667,0.154450419,101.3333333,235,0.431180759,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_M_s4,10.8299075,19.02320853,55.38764783,8.774409044,17.2820778,26.27183967,2.055498458,28.32733813,38.23129252,69.02494331,15.19141829,92.74376417,7.256235828,7.82396088,1.33470696,0.18015464,,37.08039695,,,45.05458054,,10.07329073,,,,,,,,52.572163,,,12.23589636,19.86947793,,,,65.53171913,,,,,,1.282230389,499.1255108,498.1156435,45.5,243.6666667,0.186453347,32.5,0.13319056,102.6666667,237,0.433037514,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_M_s5,22.67480243,16.07120986,140.8723443,16.02892344,9.425330865,25.4542543,6.645878991,32.1001333,70.38609137,50.31328144,19.37300614,79.30062719,20.69937281,26.16341502,1.512820513,0.267498944,16.90119888,76.19931343,2.262366945,372.0514164,37.04268293,7.552660754,5.300720621,3.305155211,10.85781596,16.15853659,20.88414634,43.62139918,56.37860082,33.88249922,32.63651877,59.625,48.70997824,10.92710643,15.98297115,4.692871014,11.29010013,2.425166297,80.65763215,30.41346458,69.58653542,,,,1.299000354,421.5034248,612.1334325,49.33333333,244,0.202185792,35.33333333,0.144808743,95.5,239.6666667,0.398805788,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_M_s6,26.40730532,22.04740889,121.8868124,17.07728135,13.00640215,30.8316265,9.041006749,39.87263325,67.39153271,55.29065182,24.45682,77.31781546,22.68218454,29.33679986,1.112881202,0.285179388,17.89318862,61.45328688,2.926666787,284.9173424,31.90212267,8.905933995,4.711882001,3.779884368,13.00411797,17.71599998,13.7337227,56.20534867,43.79465133,33.68057163,20.29815626,50.12995406,48.41707245,1.880035087,5.583165651,1.888831704,3.998970664,0.468347916,89.87497818,32.08041958,67.91958042,,,,,351.4434856,723.6594424,51.5,239.3333333,0.211065574,39,0.159836066,102,235.1666667,0.433804753,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_M_s7,23.99864997,12.92197438,185.110254,18.62820706,7.551531461,26.17973852,5.370442916,31.55018143,75.84483741,41.04176937,18.46031217,83.11339322,16.88660678,20.36885103,1.437340695,0.266692802,21.40793243,86.2552728,2.432644836,324.9645555,45.40849684,12.15808939,4.019927357,3.137216327,15.29530572,19.31523308,26.09326376,42.05726441,57.94273559,50.15742132,29.18329308,66.05843666,62.83441423,11.54785417,18.74020559,5.881733226,12.85847237,2.941909514,85.0865807,30.76124101,69.23875899,,,,1.341675815,451.3995267,613.5344048,50.33333333,244,0.206319222,37,0.151678192,99,236,0.423270176,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_M_s8,15.07990782,10.45629511,143.7329545,12.1788195,6.912846201,18.39911547,3.543448911,21.94256438,68.48729695,47.64798997,12.74300665,83.86471308,16.13528692,19.27459809,1.365622929,0.179349929,21.02962797,73.27891018,2.887784509,277.0077172,39.3172809,6.012023658,3.467299025,1.374602235,7.337929911,10.80522894,30.5969386,26.07333594,73.92666406,39.85382523,30.46428322,49.20448898,48.76375138,8.090192999,12.52960833,3.146970627,9.953421289,1.657881946,75.69876254,23.42833631,76.57166369,,,,0.977204398,439.0904599,709.5936161,45.5,242.3333333,0.188676483,33,0.136829415,88.5,238,0.372637663,AAA_E27F.xls,AAA_E27,,,,
Male,AAA_E28_hF_M_s1,24.87110742,27.6485701,108.5547982,17.37407775,16.73152505,32.82124444,7.49702967,40.31827411,61.49675738,57.18919176,23.90765189,81.31405086,18.68594914,23.01716802,1.478197615,0.369214128,10.05051866,44.20090638,2.269436769,399.7056574,69.26991616,14.18590397,13.87385175,5.725679027,19.911583,32.35584093,33.84813727,49.00648739,50.99351261,56.52541545,49.56690562,88.60063043,80.17891495,18.02587556,22.08040117,8.898015058,14.98117728,4.218001369,81.96658073,37.26262988,62.73737012,,,,1.533627822,1017.659947,367.5172033,58.33333333,242.3333333,0.240646825,30.66666667,0.126519019,102,232.6666667,0.439134513,AAA_E28F.xls,AAA_E28,99,186.6666667,,
,AAA_E28_hF_M_s2,22.81696359,26.69245408,84.66947633,13.05565919,16.93114968,29.98680887,9.761304403,39.74811327,56.99780578,67.72241754,24.75470884,75.27977668,24.72022332,32.87450876,1.130267081,0.279528803,9.848351195,43.68613878,2.243834417,405.1332284,71.98920785,11.86949605,14.90834942,7.308187394,19.17768345,34.08603287,37.90317498,46.83042873,53.16957127,50.89538613,53.98531043,82.84233762,82.4035593,18.38940604,22.92050252,8.293291858,14.62721066,4.104655441,78.3587239,36.50527954,63.49472046,,,,1.293234307,708.5930317,446.5021957,52,243,0.21392663,29.33333333,0.120692119,100,234.3333333,0.426821329,AAA_E28F.xls,AAA_E28,94,174.3333333,,
,AAA_E28_hF_M_s3,17.39249287,27.76415398,62.59135711,9.485704723,19.85736583,29.34307055,7.906788145,37.2498587,46.6170164,74.45083863,22.57832342,78.93214497,21.06785503,26.90727097,1.150957732,0.262901291,11.60974435,45.94848357,2.529052464,350.3174575,70.90933493,8.960414958,16.13009813,6.386877856,15.34729281,31.47739095,39.43194399,44.45340582,55.54659418,52.24359883,57.31519932,91.36930343,88.3835515,15.15249236,18.79637495,5.981807983,12.81456696,2.242964344,83.00523006,31.86952801,68.13047199,,,,1.453837004,973.0920999,394.5608779,51,243.6666667,0.20930311,29,0.119021116,107,234.6666667,0.45605345,AAA_E28F.xls,AAA_E28,96.66666667,171,,
,AAA_E28_hF_M_s4,29.46638966,34.54179888,111.7110266,17.64467719,15.60391419,32.10922787,16.71374765,48.82297552,70.82931533,63.40405014,32.76836158,65.76663452,34.23336548,52.05278592,1.390441244,0.516131703,11.49221079,56.41234571,2.037985412,434.2966228,73.12744563,15.11441705,14.44373056,14.67357188,30.49278092,44.09918393,33.1136221,57.11382114,42.88617886,52.4590679,40.44940225,93.17389138,88.1778988,12.62347534,14.63807042,5.649717514,6.536409291,3.436911488,80.61302398,46.36188023,53.63811977,,,,1.291290527,898.9849656,365.4767475,59,241.3333333,0.244084362,30.5,0.126337449,118.5,233,0.511056397,AAA_E28F.xls,AAA_E28,101,165,,
