BMD,BS,BS/BV,BS/TV,BV,BV/TV,Conn.D,DA,SMI,Sample Name,Sample Number,TMD,TV,Tb.N,Tb.Sp,Tb.Sp.SD,Tb.Th,Tb.Th.SD,exp_name,gene_symbol,Gender
204.942325,22.8492125,37.3634875,9.592707112510316,0.6383624999999999,0.267925,177.61195,1.8318124999999998,0.7343249999999999,Average,,818.392,2.383425,4.848087499999999,200.88750000000002,93.7625,58.12499999999999,15.137500000000003,Acvr2a_E01.xlsx,Acvr2a,Female
170.1734625,18.38505,37.885775,8.213860162423238,0.514975,0.23021250000000001,136.612825,1.8286124999999998,1.0103875,Average,,827.4111249999999,2.2373875,4.11195,242.1,119.425,58.32500000000001,15.525,Alg3_E01.xlsx,Alg3,Female
179.41736250000002,19.439100000000003,38.63885,8.47839910434984,0.5314749999999999,0.232175,141.714025,1.868875,1.1070750000000003,Average,,834.721375,2.2994624999999997,4.556987499999999,214.3875,92.875,57.599999999999994,15.65,Cacna1c_E01.xlsx,Cacna1c,Female
162.446175,18.373975,41.27135,8.26686985984894,0.47733749999999997,0.2147875,159.187575,1.7759125,1.2187625,Average,,782.7887499999999,2.2237375000000004,4.3496625,229.07500000000002,108.35,54.650000000000006,14.674999999999999,Chn1_E01.xlsx,Chn1,Female
178.9599875,19.009125,38.842887499999996,8.564544107040474,0.5159875,0.232825,148.7368125,1.8938874999999997,1.0549125000000001,Average,,837.955,2.2182749999999998,4.3864125000000005,224.13750000000002,105.93750000000001,57.1125,15.250000000000002,Clcnkb_E01.xlsx,Clcnkb,Female
174.4584,17.251675,39.4718,8.351394361059537,0.46555,0.2252375,142.3787625,1.9299,1.1494625,Average,,821.9707500000001,2.0622249999999998,4.5011375000000005,218.91250000000002,90.6,56.087500000000006,15.137500000000003,Crcp_E01.xlsx,Crcp,Female
199.50995000000003,18.187649999999998,37.022375,9.052213502468943,0.5152375,0.256625,148.23424999999997,1.9356375,0.7159875,Average,,814.94175,2.0065375,4.7010000000000005,208.18749999999997,86.925,58.0875,15.0,Ebf1_E01.xlsx,Ebf1,Female
177.9248625,19.056425,39.4973875,8.560720633190783,0.5142125,0.22995,156.9724375,1.8309875,1.0978999999999999,Average,,821.0962499999999,2.2278,4.4872250000000005,220.46249999999998,96.86250000000001,56.8375,15.512500000000001,Ednra_E01.xlsx,Ednra,Female
189.09455,18.668512500000002,36.8172,8.563490064043545,0.5310375,0.24355000000000002,140.488125,1.8709625,0.9101125,Average,,836.1495000000001,2.1784,4.4632,219.9125,93.2,59.2,15.787500000000001,Hesx1_E01.xlsx,Hesx1,Female
190.04141250000004,18.713150000000002,38.93895,9.081307010084231,0.5113249999999999,0.24782500000000002,181.53768749999998,1.8071125000000001,0.9117,Average,,796.81475,2.059,4.7289125,210.6125,93.86250000000001,56.0,14.637500000000001,IL6st_E01.xlsx,IL6st,Female
170.96788750000002,17.9595125,38.8005875,8.262620903127148,0.490375,0.2257,141.72726250000002,1.9089749999999999,1.09795,Average,,844.8399999999999,2.1728125,4.285125000000001,232.35000000000002,107.9375,57.62500000000001,15.8125,Jun_E01.xlsx,Jun,Female
187.2650375,19.870800000000003,37.49865000000001,8.722943917033676,0.5578375,0.24495,149.16081250000002,1.839,0.9558750000000001,Average,,828.2697499999999,2.288275,4.434387500000001,221.2375,103.1375,58.675000000000004,15.337499999999999,Kif16_E01.xlsx,Kif16,Female
166.84343750000002,19.638475,38.4654,8.017425891117545,0.5399875000000001,0.22041249999999998,133.1675625,1.8319875,1.1751874999999998,Average,,837.1847500000001,2.4461749999999998,4.123575000000001,242.16250000000002,121.4875,58.2875,15.8375,Lox_E01.xlsx,Lox,Female
182.95603750000004,20.336325,36.793412499999995,8.319635398437097,0.5795625,0.23691250000000003,134.06414999999998,1.842775,0.9807875000000001,Average,,831.567625,2.4480125,4.2546375,231.6875,104.475,60.237500000000004,16.2875,Lrp1_E01.xlsx,Lrp1,Female
172.837525,19.999312500000002,40.581412500000006,8.626974884785824,0.52335,0.22565000000000002,163.3612,1.85675,1.1449749999999999,Average,,814.058875,2.3179749999999997,4.5396875,216.275,88.07499999999999,55.3375,14.975000000000001,Mccc2_E01.xlsx,Mccc2,Female
163.97078749999997,17.083325000000002,37.669624999999996,7.736094575962501,0.478875,0.21688749999999998,118.16424999999998,1.8449499999999999,1.1175375,Average,,848.2502499999999,2.2070000000000003,4.0383625,244.475,112.21249999999999,58.85,15.462499999999999,Mcl1_E01.xlsx,Mcl1,Female
200.0235,21.1910625,37.521024999999995,9.347944953886719,0.5921625,0.26155,169.36311249999997,1.8172749999999998,0.7933625,Average,,823.3668749999999,2.274725,4.789887500000001,204.48749999999998,96.45,57.9625,15.087499999999999,Meis1_E01.xlsx,Meis1,Female
163.6738625,19.785725,39.949487500000004,8.038675817197705,0.5242625,0.213,139.2089125,1.8108625000000003,1.18065,Average,,824.98,2.46235,4.1391125,240.53749999999997,113.78750000000001,56.62499999999999,15.2875,Ndc80_E01.xlsx,Ndc80,Female
173.17453749999999,16.5392375,39.2208375,8.220065116986351,0.451575,0.22405,137.62558750000002,1.9609874999999999,1.18295,Average,,830.6600000000001,2.008375,4.377062499999999,223.41250000000002,95.025,56.68750000000001,15.187499999999998,Nup205_E01.xlsx,Nup205,Female
175.06823749999998,18.449037500000003,38.2119875,8.35732795242359,0.5077375,0.23057499999999997,142.37207500000002,1.83055,0.9655875,Average,,824.1775,2.2069750000000004,4.280012500000001,232.8,107.2625,57.87499999999999,15.499999999999998,P3h1_E01.xlsx,P3h1,Female
