BMD,Ct.Ar,Ct.Ar/Tt.Ar,Ct.Po,Ct.Th,Ec.Pm,I_max,I_max/C_max,I_min,I_min/C_min,J,Length,Ma.Ar,Po.A,Ps.Pm,Sample Name,Sample Number,TMD,Tt.Ar,exp_name,gene_symbol,Gender
1215.1410624999999,0.6823825,0.42250857901312044,0.002062499999999995,0.1622875,3.5333367956234034,0.197805,0.21831374999999997,0.1001775,0.16409875000000002,0.29798,14.478750000000002,0.93277375,0.0014149999999999996,4.55875897798087,Average ,,1306.2318,1.61657125,Acvr2a_E01.xlsx,Acvr2a,Female
1210.9123375,0.6802837500000001,0.43694220603199363,0.0018487499999999962,0.16692500000000002,3.4244596239780956,0.19059125000000002,0.21203625,0.094635,0.15646624999999997,0.2852275,14.547142857142857,0.8764412499999998,0.0012624999999999859,4.480134564569739,Average ,,1298.9618999999998,1.5579874999999999,Alg3_E01.xlsx,Alg3,Female
1205.7928875,0.6637725,0.41870856479512575,0.0022487500000000077,0.161,3.4807409711649004,0.18343375,0.2089725,0.09881125,0.15848874999999998,0.28224499999999997,14.638750000000002,0.9201037499999999,0.001493750000000002,4.497948014067103,Average ,,1297.1163,1.58537,Cacna1c_E01.xlsx,Cacna1c,Female
1238.8205249999999,0.66848,0.43893425885799536,0.0024974999999999997,0.165775,3.373245446601152,0.17591,0.19989625,0.09529750000000001,0.15560125000000002,0.27120374999999997,14.33375,0.8548625000000001,0.0016712499999999991,4.421665296237716,Average ,,1333.0567250000001,1.52501375,Chn1_E01.xlsx,Chn1,Female
1220.3808875,0.68355125,0.4228229177362204,0.002341250000000017,0.1624875,3.5205014458426858,0.19363375,0.21586625000000004,0.10332000000000001,0.16461499999999998,0.2969525,,0.9319324999999999,0.0016050000000000092,4.5455092299143915,Average ,,1313.0603875,1.6170887500000002,Clcnkb_E01.xlsx,Clcnkb,Female
1223.735025,0.63386375,0.4303391853529472,0.002395000000000022,0.16055,3.3159297994661587,0.16252499999999998,0.19119125,0.0866225,0.1441975,0.24914625,14.354285714285714,0.83708875,0.0015262500000000068,4.329540524816547,Average ,,1320.2902,1.47247875,Crcp_E01.xlsx,Crcp,Female
1208.89825,0.6654237500000001,0.44651915437390305,0.0025650000000000117,0.166625,3.3234210749884574,0.171215,0.2003725,0.09069125,0.15048625,0.2619075,14.23,0.8242387499999999,0.0017112500000000114,4.376362149268805,Average ,,1297.766275,1.49137375,Ebf1_E01.xlsx,Ebf1,Female
1205.9052499999998,0.67252125,0.4278789753638592,0.002033750000000001,0.16510000000000002,3.453979302892325,0.18737875,0.2081625,0.09722125,0.15729125,0.28459749999999995,14.5475,0.8966675000000001,0.0013575000000000254,4.496915864293555,Average ,,1296.4262125,1.5705462499999996,Ednra_E01.xlsx,Ednra,Female
1237.5045375000002,0.7018112499999999,0.44316208332927487,0.0025500000000000106,0.1710125,3.421523497935118,0.19231375,0.21897499999999998,0.10159625000000001,0.16558374999999997,0.29391,14.775000000000002,0.8810012500000001,0.0017987500000000017,4.501020872194646,Average ,,1328.7396875,1.58461125,Hesx1_E01.xlsx,Hesx1,Female
1220.124125,0.66709125,0.42663010684963726,0.002449999999999994,0.16463750000000002,3.4391794993160385,0.18636375,0.2084825,0.09469625000000001,0.1554075,0.2810575,14.605,0.89452375,0.0016349999999999837,4.479057136379972,Average ,,1312.3944125,1.56325,IL6st_E01.xlsx,IL6st,Female
1210.0135999999998,0.6656974999999999,0.4374493641936281,0.002009999999999998,0.1645625,3.374682975907915,0.17698375,0.20429999999999998,0.09269250000000001,0.15165499999999998,0.2696775,14.545,0.8574662499999999,0.0013424999999999965,4.413950393497386,Average ,,1298.4242749999999,1.52450625,Jun_E01.xlsx,Jun,Female
1215.718825,0.6890949999999999,0.4324547715377196,0.002135000000000012,0.16704999999999998,3.45510766150354,0.19114250000000002,0.21278625,0.10207250000000001,0.16574,0.2932175,14.39125,0.90251,0.001478750000000001,4.50846884762604,Average ,,1304.6269625,1.5930837500000001,Kif16_E01.xlsx,Kif16,Female
1218.2464125000001,0.7137862500000001,0.44109205651594785,0.002063749999999989,0.17198750000000002,3.4602433692050107,0.19936874999999998,0.2252375,0.10630125000000001,0.17076125,0.30567,14.705000000000002,0.9033062500000001,0.0014762499999999845,4.546603663690066,Average ,,1305.0362,1.61856875,Lox_E01.xlsx,Lox,Female
1216.3286625,0.7081949999999999,0.42597559994152745,0.002412499999999998,0.1675625,3.562942349732861,0.20767499999999997,0.22835624999999998,0.1102625,0.17460625,0.31793499999999997,14.873749999999998,0.9566387499999999,0.0016987500000000266,4.621626144310209,Average ,,1304.91585,1.6665325,Lrp1_E01.xlsx,Lrp1,Female
1210.9684874999998,0.68621,0.42300657036951694,0.0022962499999999997,0.16113750000000002,3.552993153960746,0.19965875,0.2184475,0.10114999999999999,0.16524375000000002,0.30080875,14.65,0.9353462500000002,0.0015799999999999842,4.571460434072192,Average ,,1299.9007375,1.62313625,Mccc2_E01.xlsx,Mccc2,Female
1236.0601499999998,0.6878687499999999,0.45051720338556717,0.0023200000000000026,0.1702125,3.3466790711651333,0.18242625,0.20811375,0.095065,0.15820250000000002,0.27748875,14.494999999999997,0.83760875,0.0016012500000000124,4.421463528092129,Average ,,1328.153925,1.5270787499999998,Mcl1_E01.xlsx,Mcl1,Female
